30 73 2.04597 
30 72.5642 7.02694 
25 72.5642 7.02694 
25 73 2.04597 
#

30 73 2.04597 
30 77.7631 4.97224 
25 77.7631 4.97224 
25 73 2.04597 
#

30 73 2.04597 
30 78.1989 -0.00873683 
25 78.1989 -0.00873683 
25 73 2.04597 
#

30 73 2.04597 
30 73.4358 -2.935 
25 73.4358 -2.935 
25 73 2.04597 
#

30 73 2.04597 
30 68.2369 -0.880294 
25 68.2369 -0.880294 
25 73 2.04597 
#

30 73 2.04597 
30 67.8011 4.10068 
25 67.8011 4.10068 
25 73 2.04597 
#

30 73 2.04597 
30 72.5642 7.02694 
25 72.5642 7.02694 
25 73 2.04597 
#

