-100 -100 200
 100 -100 200
 100 -80  220
-100 -80  220
-100 -60  200
 100 -60  200
 100 -40  220
-100 -40  220
-100 -20  200
 100 -20  200
 100  0	  220
-100  0	  220
-100  20  200
 100  20  200
 100  40  220
-100  40  220
-100  60  200
 100  60  200
 100  80  220
-100  80  220
-100  100 200
 100  100 200
100  80  220
-100  80  220
-100  60  200
100 60 200
100 40 220
-100 40 220
-100 20 200
100 20 200
100 0 220
-100 0 220
-100 -20 200
100 -20 200
100 -40 220
-100 -40 220
-100 -60 200
100 -60 200
100 -80 220
-100 -80 220
-100 -100 200
100 -100 200
