-100 80 0
 100 80 0
 100 80  10
-100 80  10
-100 80  20
 100 80  20
 100 80  30
-100 80  30
-100 80  40
 100 80  40
 100  80  50
-100  80  50
-100  80  60
 100  80  60
 100  80  70
-100  80  70
-100  80  80
 100  80  80
 100  80  90
-100  80  90
-100  80 100
-100 80 100
-100  80 0
-80   80 0
-80  80 100
-60  80 100
-60   80 0
-40   80 0
-40  80 100
-20  80 100
-20   80 0
  0   80 0
  0  80 100
 20  80 100
 20   80 0
 40   80 0
 40  80 100
 60  80 100
 60   80 0
 80   80 0
 80  80 100
100  80 100
100   80 0
100   80 100
-100 80 100
